state,$default,$end,'!','%','&','(',')','*','+',"','",'-','.','/',':',';','<','=','>','[',']','^','{','|','}','~',ADD_ASSIGN,ALIGNAS,ALIGNOF,AND_ASSIGN,AND_OP,ATOMIC,AUTO,BOOL,BREAK,CASE,CHAR,COMPLEX,CONST,CONTINUE,DEC_OP,DEFAULT,DIV_ASSIGN,DO,DOUBLE,ELIF,ELLIPSIS,ELSE,ENUM,ENUMERATION_CONSTANT,EQ_OP,EXCEPT,EXTERN,FLOAT,FOR,FOREACH,FUNC_NAME,F_CONSTANT,GENERIC,GE_OP,GOTO,IDENTIFIER,IF,IMAGINARY,IN,INC_OP,INLINE,INT,I_CONSTANT,LEFT_ASSIGN,LEFT_OP,LE_OP,LONG,MOD_ASSIGN,MUL_ASSIGN,NE_OP,NORETURN,OR_ASSIGN,OR_OP,PASS,PRINT,PTR_OP,RANGE,REGISTER,RESTRICT,RETURN,RIGHT_ASSIGN,RIGHT_OP,SHORT,SIGNED,SIZEOF,STATIC,STATIC_ASSERT,STRING_LITERAL,STRUCT,SUB_ASSIGN,SWITCH,THREAD_LOCAL,TH_OP,TRY,TYPEDEF,TYPEDEF_NAME,UNION,UNSIGNED,VOID,VOLATILE,WHILE,XOR_ASSIGN
57,r106,,,,,,,,,,,,,,,,s127,,,,,s126,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,s29,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,
58,r167,,,,,s132,,,,,,,,,,,,,s133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,r95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r131,,,,,,,,,,,,,,,,,,,,,s135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,,s18,,,,,,,,,,s22,,,,s14,,,,,s15,,,,,,,,,,,,s9,,,,s13,s16,,,s29,,s23,,,,,,,s1,s24,s17,s20,s10,,
64,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,r101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,r156,,,,,,,,,,,,,,,,s141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,s142,,,,,,,,,,,,,,s143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,r153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,s92,,s87,s145,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,
81,,,s92,,s87,s147,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,
